College_ID,IQ,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,College_Performance_Rate
CLG0020,107,5.59,5,1,6,4,1,0,0.13333333333333333
CLG0031,86,8.5,7,0,6,3,1,0,0.1958762886597938
CLG0099,123,5.45,10,1,5,10,1,0,0.15730337078651685
CLG0039,88,9.5,6,0,10,9,3,1,0.1346153846153846
CLG0063,95,9.16,6,0,1,2,0,0,0.18181818181818182
CLG0006,112,6.19,6,0,3,3,5,0,0.10843373493975904
CLG0099,81,6.41,8,0,2,8,2,0,0.15730337078651685
CLG0028,103,7.22,7,1,10,2,0,0,0.25
CLG0051,119,8.28,5,0,7,5,5,1,0.19444444444444445
CLG0053,75,6.39,10,0,1,10,5,0,0.14285714285714285
CLG0044,102,7.62,2,1,9,8,0,0,0.125
CLG0065,103,6.08,10,0,1,7,0,0,0.16806722689075632
CLG0080,111,5.25,6,1,0,4,4,0,0.12380952380952381
CLG0012,81,4.97,10,0,8,10,2,0,0.23636363636363636
CLG0028,80,5.66,5,0,2,9,2,0,0.25
CLG0079,107,8.93,4,1,7,2,4,0,0.15217391304347827
CLG0072,104,9.45,10,0,6,7,5,0,0.13333333333333333
CLG0068,103,7.14,5,0,0,7,4,0,0.14893617021276595
CLG0095,105,7.97,9,0,10,7,5,0,0.16666666666666666
CLG0030,89,5.39,2,1,5,7,1,0,0.19047619047619047
CLG0035,103,7.95,6,0,7,5,4,0,0.14457831325301204
CLG0006,104,5.81,9,0,5,1,3,0,0.10843373493975904
CLG0085,89,8.31,10,0,8,4,4,0,0.20408163265306123
CLG0030,127,9.32,5,1,9,5,1,0,0.19047619047619047
CLG0080,107,6.42,6,0,2,10,4,0,0.12380952380952381
CLG0063,82,8.94,10,0,5,4,3,0,0.18181818181818182
CLG0008,109,5.47,4,1,9,7,4,0,0.14893617021276595
CLG0091,85,6.63,5,0,3,2,5,0,0.13
CLG0033,111,5.79,8,0,9,2,0,0,0.1836734693877551
CLG0043,117,7.04,1,1,2,2,2,0,0.1414141414141414
CLG0076,87,5.77,1,1,7,10,3,0,0.1511627906976744
CLG0043,114,6.75,10,1,6,3,3,0,0.1414141414141414
CLG0045,106,7.25,4,1,6,5,3,0,0.20353982300884957
CLG0087,112,6.09,10,1,4,10,5,1,0.2268041237113402
CLG0054,128,8.52,3,1,0,9,0,1,0.16455696202531644
CLG0065,96,9.13,5,1,5,3,0,0,0.16806722689075632
CLG0007,88,6.69,10,1,5,6,2,0,0.19148936170212766
CLG0036,86,6.12,8,1,2,6,1,0,0.1827956989247312
CLG0025,87,5.95,1,0,4,6,2,0,0.11864406779661017
CLG0085,98,9.74,5,0,8,5,3,0,0.20408163265306123
CLG0037,105,8.23,5,0,6,2,3,0,0.13953488372093023
CLG0012,104,7.41,2,1,7,1,3,0,0.23636363636363636
CLG0032,112,6.07,5,1,8,5,2,0,0.1504424778761062
CLG0049,100,7.64,8,1,5,8,1,0,0.20175438596491227
CLG0038,121,6.15,10,1,4,10,1,0,0.2641509433962264
CLG0056,96,10.07,7,0,9,5,2,0,0.2222222222222222
CLG0080,140,9.11,2,0,4,3,5,1,0.12380952380952381
CLG0065,109,5.33,6,1,4,3,3,0,0.16806722689075632
CLG0026,87,7.64,10,0,3,2,2,0,0.21739130434782608
CLG0057,83,6.34,1,0,1,7,2,0,0.12087912087912088
CLG0014,107,6.58,10,0,6,2,4,0,0.17647058823529413
CLG0056,96,9.17,10,1,6,6,4,0,0.2222222222222222
CLG0070,110,7.75,3,1,7,8,0,0,0.12941176470588237
CLG0041,107,6.53,6,0,7,8,0,0,0.18627450980392157
CLG0051,98,6.32,9,1,10,2,2,0,0.19444444444444445
CLG0084,87,9.15,1,0,7,6,4,0,0.23529411764705882
CLG0067,77,7.85,6,1,8,3,3,0,0.20175438596491227
CLG0012,93,6.99,2,1,5,9,0,0,0.23636363636363636
CLG0097,112,6.22,9,1,3,3,3,0,0.16831683168316833
CLG0049,103,6.62,2,1,1,1,3,0,0.20175438596491227
CLG0001,81,9.47,3,0,4,9,0,0,0.10091743119266056
CLG0019,102,7.43,2,1,5,8,5,0,0.14444444444444443
CLG0066,105,6.8,4,1,6,2,2,0,0.168141592920354
CLG0058,86,7.22,4,0,5,10,4,0,0.15517241379310345
CLG0087,102,8.94,10,1,3,10,0,0,0.2268041237113402
CLG0072,100,6.96,1,1,3,3,1,0,0.13333333333333333
CLG0098,82,5.97,8,1,6,7,1,0,0.1523809523809524
CLG0004,105,8.25,5,1,0,6,3,0,0.14285714285714285
CLG0008,108,7.96,8,0,2,8,1,0,0.14893617021276595
CLG0027,116,8.5,6,1,9,10,3,1,0.15833333333333333
CLG0026,115,9.52,2,0,1,5,5,1,0.21739130434782608
CLG0097,79,7.04,7,0,1,5,5,0,0.16831683168316833
CLG0043,85,5.58,10,0,6,2,5,0,0.1414141414141414
CLG0040,107,10.02,9,0,4,6,5,0,0.17894736842105263
CLG0050,107,7.33,7,1,2,5,5,0,0.16666666666666666
CLG0067,107,7.71,5,0,8,9,4,0,0.20175438596491227
CLG0073,157,8.53,4,0,8,3,0,0,0.11206896551724138
CLG0074,108,7.95,8,0,2,5,0,0,0.11702127659574468
CLG0029,117,6.52,6,0,1,3,4,0,0.13761467889908258
CLG0085,114,8.97,5,1,2,9,3,1,0.20408163265306123
CLG0042,109,9.21,7,1,8,9,5,1,0.25333333333333335
CLG0018,95,7.77,3,1,7,10,2,0,0.15217391304347827
CLG0081,111,7.81,9,0,2,7,1,0,0.14432989690721648
CLG0021,88,6.07,4,0,3,1,5,0,0.17708333333333334
CLG0067,96,5.7,4,0,4,9,4,0,0.20175438596491227
CLG0062,92,6.81,8,0,3,9,1,0,0.18796992481203006
CLG0027,101,6.13,6,1,10,10,2,0,0.15833333333333333
CLG0096,134,10.0,1,1,1,5,3,1,0.23232323232323232
CLG0093,71,9.13,2,0,10,2,5,0,0.14444444444444443
CLG0047,110,8.58,9,0,8,1,1,0,0.18627450980392157
CLG0093,75,7.21,6,0,1,2,3,0,0.14444444444444443
CLG0026,92,5.99,7,1,4,4,5,0,0.21739130434782608
CLG0009,116,9.69,9,0,10,4,2,1,0.13541666666666666
CLG0091,100,7.14,3,1,8,1,3,0,0.13
CLG0012,83,5.27,5,1,7,8,2,0,0.23636363636363636
CLG0016,89,7.65,5,1,0,10,0,0,0.18947368421052632
CLG0047,110,9.16,10,0,2,8,1,0,0.18627450980392157
CLG0056,89,8.95,7,1,9,8,1,0,0.2222222222222222
CLG0066,103,5.18,2,1,8,5,2,0,0.168141592920354
CLG0051,100,9.04,4,0,2,10,2,1,0.19444444444444445
CLG0027,90,6.52,4,0,10,2,4,0,0.15833333333333333
CLG0073,132,5.62,8,1,3,4,2,0,0.11206896551724138
CLG0066,109,9.71,10,1,2,1,2,0,0.168141592920354
CLG0062,69,9.06,3,0,6,10,3,1,0.18796992481203006
CLG0071,102,8.29,2,0,8,1,3,0,0.09803921568627451
CLG0008,90,7.72,9,0,3,10,1,0,0.14893617021276595
CLG0038,112,9.47,4,0,8,3,3,1,0.2641509433962264
CLG0006,88,9.22,9,1,1,4,3,0,0.10843373493975904
CLG0059,98,9.02,6,0,1,3,1,0,0.18085106382978725
CLG0019,107,7.67,1,0,8,3,5,0,0.14444444444444443
CLG0079,112,9.68,3,0,6,8,0,1,0.15217391304347827
CLG0056,81,10.27,7,0,4,4,4,0,0.2222222222222222
CLG0028,94,5.49,9,1,4,3,3,0,0.25
CLG0094,92,9.43,8,1,8,9,0,0,0.15454545454545454
CLG0091,90,7.6,5,1,10,1,4,0,0.13
CLG0010,126,7.42,8,1,3,8,1,0,0.10476190476190476
CLG0045,106,8.51,2,0,10,5,3,0,0.20353982300884957
CLG0095,81,5.21,3,0,0,8,5,0,0.16666666666666666
CLG0065,113,7.75,8,0,5,10,3,1,0.16806722689075632
CLG0050,131,9.68,9,1,2,3,2,1,0.16666666666666666
CLG0032,115,6.47,10,0,1,6,3,0,0.1504424778761062
CLG0061,77,6.7,8,1,3,7,3,0,0.1792452830188679
CLG0016,92,9.5,4,1,8,8,0,0,0.18947368421052632
CLG0006,119,6.96,6,0,7,7,0,0,0.10843373493975904
CLG0066,89,6.72,5,1,6,7,3,0,0.168141592920354
CLG0062,106,6.87,4,0,1,2,5,0,0.18796992481203006
CLG0066,111,7.6,9,1,0,3,4,0,0.168141592920354
CLG0067,86,8.32,10,0,6,6,1,0,0.20175438596491227
CLG0019,99,9.0,3,0,9,3,5,0,0.14444444444444443
CLG0004,51,7.43,1,0,4,9,0,0,0.14285714285714285
CLG0043,84,8.66,7,0,10,9,5,1,0.1414141414141414
CLG0018,96,8.05,10,1,7,6,5,0,0.15217391304347827
CLG0082,81,7.13,8,1,4,1,4,0,0.16842105263157894
CLG0046,124,8.41,3,0,9,1,5,1,0.18095238095238095
CLG0046,78,8.97,3,0,4,4,3,0,0.18095238095238095
CLG0085,93,7.42,6,0,7,10,2,0,0.20408163265306123
CLG0021,101,5.58,2,0,8,8,0,0,0.17708333333333334
CLG0030,121,5.47,6,0,1,3,5,0,0.19047619047619047
CLG0064,78,6.34,5,0,7,4,0,0,0.15053763440860216
CLG0041,117,6.23,7,0,6,6,2,0,0.18627450980392157
CLG0017,100,8.46,9,0,7,9,3,1,0.21052631578947367
CLG0005,85,4.89,9,0,2,4,0,0,0.15178571428571427
CLG0005,106,8.92,1,0,3,3,3,0,0.15178571428571427
CLG0073,102,6.2,7,0,6,10,4,0,0.11206896551724138
CLG0075,90,6.91,3,0,4,10,0,0,0.16806722689075632
CLG0048,101,7.77,4,1,6,9,3,0,0.18823529411764706
CLG0078,94,5.8,2,1,5,7,4,0,0.08849557522123894
CLG0038,101,9.26,1,0,3,9,5,1,0.2641509433962264
CLG0006,109,5.78,10,1,1,10,0,0,0.10843373493975904
CLG0058,123,7.11,3,1,5,6,1,0,0.15517241379310345
CLG0014,81,9.29,10,0,5,4,3,0,0.17647058823529413
CLG0072,131,8.23,9,0,5,5,4,1,0.13333333333333333
CLG0094,70,6.31,1,1,0,10,5,0,0.15454545454545454
CLG0059,97,6.89,3,0,5,2,1,0,0.18085106382978725
CLG0065,108,8.51,5,1,1,3,3,0,0.16806722689075632
CLG0089,104,9.58,3,0,9,5,0,0,0.21505376344086022
CLG0013,90,9.25,4,0,4,3,5,0,0.18095238095238095
CLG0027,96,6.27,4,0,6,3,3,0,0.15833333333333333
CLG0025,92,9.79,1,1,9,9,4,1,0.11864406779661017
CLG0056,91,4.84,6,1,0,4,0,0,0.2222222222222222
CLG0068,112,5.6,7,1,4,4,0,0,0.14893617021276595
CLG0059,105,9.21,7,1,8,1,5,0,0.18085106382978725
CLG0095,89,6.29,6,0,2,7,0,0,0.16666666666666666
CLG0049,113,4.85,7,0,1,10,2,1,0.20175438596491227
CLG0018,104,5.8,3,1,9,9,4,0,0.15217391304347827
CLG0081,112,7.44,5,1,1,8,1,0,0.14432989690721648
CLG0075,109,8.77,7,1,2,2,0,0,0.16806722689075632
CLG0076,87,7.81,10,0,0,6,4,0,0.1511627906976744
CLG0003,91,6.09,5,1,1,10,2,0,0.17525773195876287
CLG0079,111,7.56,10,1,5,10,2,1,0.15217391304347827
CLG0057,109,9.97,2,1,7,5,5,0,0.12087912087912088
CLG0006,99,8.64,6,0,3,8,0,0,0.10843373493975904
CLG0069,101,6.72,7,1,1,1,4,0,0.23076923076923078
CLG0031,119,10.13,2,0,4,9,2,1,0.1958762886597938
CLG0008,91,9.02,10,0,2,9,0,0,0.14893617021276595
CLG0010,108,5.62,8,1,4,7,5,0,0.10476190476190476
CLG0003,96,4.96,5,1,2,8,3,0,0.17525773195876287
CLG0012,96,6.05,8,0,10,9,3,0,0.23636363636363636
CLG0092,116,8.9,3,0,3,5,3,1,0.14705882352941177
CLG0076,112,6.15,2,1,4,2,1,0,0.1511627906976744
CLG0094,112,7.88,7,1,6,1,4,0,0.15454545454545454
CLG0019,119,5.87,5,1,1,5,5,0,0.14444444444444443
CLG0021,100,9.2,5,0,5,8,3,1,0.17708333333333334
CLG0081,110,6.32,8,0,5,10,2,0,0.14432989690721648
CLG0014,95,9.84,9,0,5,4,1,0,0.17647058823529413
CLG0075,104,9.47,8,1,6,4,3,0,0.16806722689075632
CLG0029,98,4.59,10,0,10,4,0,0,0.13761467889908258
CLG0007,101,7.22,2,0,2,8,2,0,0.19148936170212766
CLG0049,108,5.44,10,1,4,7,1,0,0.20175438596491227
CLG0065,87,9.17,7,0,8,1,1,0,0.16806722689075632
CLG0007,131,7.76,5,0,8,10,2,1,0.19148936170212766
CLG0014,84,4.87,7,1,6,6,3,0,0.17647058823529413
CLG0016,81,5.16,3,1,8,4,5,0,0.18947368421052632
CLG0099,117,6.77,4,1,2,2,5,0,0.15730337078651685
CLG0016,111,9.28,7,0,6,3,0,0,0.18947368421052632
CLG0085,109,8.81,2,0,0,4,0,0,0.20408163265306123
CLG0013,109,9.7,2,0,6,10,5,1,0.18095238095238095
CLG0082,99,7.09,1,1,2,7,5,0,0.16842105263157894
CLG0029,86,4.96,1,0,2,1,0,0,0.13761467889908258
CLG0085,101,9.89,1,1,6,1,1,0,0.20408163265306123
CLG0073,89,4.77,6,1,7,3,3,0,0.11206896551724138
CLG0095,114,9.52,5,1,3,2,5,1,0.16666666666666666
CLG0061,97,6.86,10,1,0,3,5,0,0.1792452830188679
CLG0037,87,5.29,8,0,4,3,2,0,0.13953488372093023
CLG0017,95,8.04,5,1,9,1,4,0,0.21052631578947367
CLG0031,106,9.7,1,1,3,6,0,0,0.1958762886597938
CLG0059,91,10.26,8,0,8,8,2,1,0.18085106382978725
CLG0088,87,5.73,6,0,2,5,5,0,0.15178571428571427
CLG0047,103,6.35,8,1,3,1,5,0,0.18627450980392157
CLG0006,103,8.32,2,1,9,10,2,1,0.10843373493975904
CLG0032,92,8.22,10,1,2,7,5,0,0.1504424778761062
CLG0031,92,8.49,8,0,2,10,0,0,0.1958762886597938
CLG0018,103,6.2,6,0,6,9,4,0,0.15217391304347827
CLG0009,78,9.46,1,0,4,7,1,0,0.13541666666666666
CLG0003,78,7.94,1,1,4,9,1,0,0.17525773195876287
CLG0071,89,9.52,10,0,3,10,3,1,0.09803921568627451
CLG0026,96,7.63,5,0,9,9,5,0,0.21739130434782608
CLG0013,104,6.77,7,1,7,2,1,0,0.18095238095238095
CLG0034,122,10.04,4,0,0,8,2,1,0.08928571428571429
CLG0043,112,8.14,10,0,10,7,1,0,0.1414141414141414
CLG0093,97,8.96,5,0,8,7,3,0,0.14444444444444443
CLG0033,99,9.55,10,0,10,2,2,0,0.1836734693877551
CLG0069,84,8.1,3,0,8,1,2,0,0.23076923076923078
CLG0036,99,7.62,2,0,10,4,4,0,0.1827956989247312
CLG0079,95,5.28,2,0,4,7,5,0,0.15217391304347827
CLG0074,104,5.41,5,0,0,6,0,0,0.11702127659574468
CLG0068,87,6.16,4,1,1,10,0,0,0.14893617021276595
CLG0047,107,5.44,2,0,1,2,0,0,0.18627450980392157
CLG0061,122,5.91,5,1,5,7,3,0,0.1792452830188679
CLG0045,98,6.24,10,1,9,10,1,0,0.20353982300884957
CLG0096,106,6.57,9,0,8,9,0,0,0.23232323232323232
CLG0088,110,6.75,8,0,2,2,1,0,0.15178571428571427
CLG0084,93,5.4,9,0,7,10,0,0,0.23529411764705882
CLG0048,103,4.79,9,0,1,5,4,0,0.18823529411764706
CLG0041,100,8.62,8,0,4,2,1,0,0.18627450980392157
CLG0038,101,7.98,9,0,3,1,3,0,0.2641509433962264
CLG0068,88,7.29,4,0,4,7,5,0,0.14893617021276595
CLG0075,100,7.76,8,1,3,2,5,0,0.16806722689075632
CLG0011,107,9.53,2,0,0,6,3,0,0.14893617021276595
CLG0016,121,7.61,9,0,0,7,1,0,0.18947368421052632
CLG0065,114,7.91,9,0,5,1,5,0,0.16806722689075632
CLG0097,132,9.97,3,0,7,9,3,1,0.16831683168316833
CLG0071,88,9.54,6,0,6,6,2,0,0.09803921568627451
CLG0067,113,7.17,7,1,3,2,3,0,0.20175438596491227
CLG0071,102,8.04,3,1,4,1,4,0,0.09803921568627451
CLG0001,132,5.87,5,0,7,1,4,0,0.10091743119266056
CLG0097,87,7.81,1,0,5,2,1,0,0.16831683168316833
CLG0071,87,9.81,3,1,7,9,3,1,0.09803921568627451
CLG0004,91,8.02,8,0,5,2,1,0,0.14285714285714285
CLG0082,68,9.88,3,0,7,1,0,0,0.16842105263157894
CLG0037,92,6.78,8,1,3,4,2,0,0.13953488372093023
CLG0014,88,10.08,9,0,9,9,1,0,0.17647058823529413
CLG0079,102,8.09,6,1,1,8,1,0,0.15217391304347827
CLG0025,105,4.85,7,0,2,7,1,0,0.11864406779661017
CLG0082,128,7.79,6,0,4,8,5,1,0.16842105263157894
CLG0004,114,6.78,8,0,3,2,1,0,0.14285714285714285
CLG0066,91,5.23,7,0,4,5,5,0,0.168141592920354
CLG0043,86,8.82,10,0,0,7,4,0,0.1414141414141414
CLG0026,107,6.0,1,0,0,1,2,0,0.21739130434782608
CLG0084,80,9.0,3,1,1,6,0,0,0.23529411764705882
CLG0015,127,6.49,3,0,10,7,2,0,0.14736842105263157
CLG0006,117,5.8,3,0,1,8,1,0,0.10843373493975904
CLG0037,92,10.0,4,1,7,5,4,0,0.13953488372093023
CLG0043,74,6.38,1,0,9,8,0,0,0.1414141414141414
CLG0042,120,7.66,2,1,3,10,5,1,0.25333333333333335
CLG0013,98,8.1,5,0,5,1,1,0,0.18095238095238095
CLG0016,118,7.36,6,1,1,4,5,0,0.18947368421052632
CLG0042,76,9.95,9,1,0,6,1,0,0.25333333333333335
CLG0038,91,8.01,2,0,6,4,3,0,0.2641509433962264
CLG0066,100,7.19,9,0,3,5,2,0,0.168141592920354
CLG0065,100,9.2,7,0,3,2,2,0,0.16806722689075632
CLG0005,93,5.81,9,0,1,7,2,0,0.15178571428571427
CLG0030,109,7.98,4,1,8,9,3,0,0.19047619047619047
CLG0095,83,9.75,7,1,1,7,4,0,0.16666666666666666
CLG0043,97,8.36,1,1,4,1,4,0,0.1414141414141414
CLG0032,101,9.09,8,0,5,2,4,0,0.1504424778761062
CLG0067,107,8.36,7,1,2,8,5,1,0.20175438596491227
CLG0067,110,9.46,7,0,10,1,0,0,0.20175438596491227
CLG0042,83,9.83,2,1,2,2,3,0,0.25333333333333335
CLG0005,76,6.48,10,1,5,5,3,0,0.15178571428571427
CLG0099,119,6.14,9,1,4,6,4,0,0.15730337078651685
CLG0086,104,7.87,8,0,4,1,4,0,0.09090909090909091
CLG0096,88,8.39,1,1,4,1,4,0,0.23232323232323232
CLG0059,123,6.22,1,1,8,2,3,0,0.18085106382978725
CLG0023,101,4.61,5,0,7,3,4,0,0.1864406779661017
CLG0008,117,6.57,2,1,3,9,2,1,0.14893617021276595
CLG0068,101,9.75,1,0,5,3,4,0,0.14893617021276595
CLG0070,130,8.81,10,0,4,8,2,1,0.12941176470588237
