IQ,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,College_Performance_Rate
80,7.97,8,1,1,1,0,0.1047619047619047
121,5.61,1,1,1,3,1,0.1444444444444444
110,5.1,5,1,3,3,3,0.1666666666666666
97,6.89,3,0,5,2,1,0.1808510638297872
96,5.6,6,1,9,1,4,0.127906976744186
97,8.81,3,0,2,7,0,0.0909090909090909
89,7.21,3,1,4,10,4,0.1511627906976744
92,7.78,10,0,0,6,4,0.1238095238095238
85,9.37,8,0,3,8,5,0.1944444444444444
84,7.79,1,1,9,4,1,0.1208791208791208
87,6.73,10,0,2,8,0,0.2222222222222222
87,8.7,2,0,10,5,3,0.1752577319587628
109,9.16,9,1,1,7,3,0.1511627906976744
114,8.26,4,0,8,5,1,0.2105263157894736
107,5.08,6,1,6,8,4,0.1504424778761062
87,9.03,1,1,2,4,4,0.0980392156862745
117,7.64,3,0,10,5,4,0.2150537634408602
84,6.37,1,1,9,1,1,0.1047619047619047
102,7.86,2,0,8,10,3,0.2017543859649122
132,4.99,10,0,6,3,2,0.2105263157894736
99,8.76,6,0,4,2,1,0.25
94,7.8,9,1,9,4,4,0.1489361702127659
130,9.79,1,1,9,5,3,0.1904761904761904
101,6.0,9,1,7,10,3,0.1684210526315789
104,5.33,4,0,7,5,5,0.2307692307692307
76,7.46,9,0,2,2,5,0.1170212765957446
111,5.42,1,0,5,9,4,0.1752577319587628
103,7.97,3,0,3,3,2,0.1504424778761062
126,7.48,1,0,2,7,3,0.1894736842105263
88,7.32,2,1,2,2,2,0.2641509433962264
102,6.81,8,1,9,9,0,0.1170212765957446
106,5.67,7,0,9,3,0,0.1346153846153846
74,7.84,2,1,10,4,2,0.1517857142857142
95,8.25,5,0,9,2,2,0.1428571428571428
94,8.22,5,0,7,10,4,0.1376146788990825
125,7.81,1,0,1,7,5,0.0892857142857142
105,5.16,6,1,5,8,5,0.1444444444444444
94,6.16,1,0,4,10,1,0.2307692307692307
68,9.08,8,1,8,7,2,0.1523809523809524
121,7.16,5,1,1,9,2,0.18796992481203
92,4.84,10,1,8,5,1,0.125
96,6.99,4,0,9,5,4,0.1752577319587628
96,7.69,6,0,1,2,5,0.1680672268907563
78,10.18,6,0,4,10,1,0.1333333333333333
93,5.56,8,1,8,10,5,0.1186440677966101
98,7.41,5,0,7,4,1,0.1009174311926605
88,8.24,4,0,1,9,0,0.1444444444444444
120,5.54,5,1,8,9,4,0.2277227722772277
100,7.64,8,1,5,8,1,0.2017543859649122
104,5.8,3,1,9,9,4,0.1521739130434782
90,9.69,8,0,0,6,2,0.1473684210526315
104,7.15,7,1,6,1,4,0.1186440677966101
96,5.32,7,0,5,8,0,0.1473684210526315
79,8.27,7,1,2,6,5,0.2352941176470588
113,8.8,3,0,3,5,0,0.1645569620253164
88,6.49,8,1,9,10,2,0.1009174311926605
91,4.91,1,1,2,9,4,0.1186440677966101
116,7.19,9,1,0,1,5,0.1808510638297872
120,8.44,9,0,0,10,0,0.2323232323232323
117,7.61,7,0,2,2,3,0.1511627906976744
96,5.41,4,1,7,3,3,0.1682242990654205
103,8.77,8,0,6,6,1,0.2222222222222222
106,7.48,3,1,0,2,5,0.1666666666666666
113,6.03,9,1,3,6,2,0.1573033707865168
109,5.8,5,0,4,5,1,0.2323232323232323
81,9.35,4,0,10,6,5,0.1645569620253164
113,9.43,10,1,3,10,4,0.1827956989247312
88,9.06,3,0,0,10,3,0.1827956989247312
96,8.05,10,1,7,6,5,0.1521739130434782
90,10.17,8,0,2,7,5,0.2363636363636363
85,6.8,3,1,0,1,3,0.127906976744186
93,7.59,3,0,3,10,4,0.1489361702127659
87,8.48,5,0,4,8,2,0.1521739130434782
125,7.71,5,0,8,5,1,0.1333333333333333
110,9.49,1,0,0,8,0,0.2533333333333333
127,9.55,2,0,8,2,4,0.1680672268907563
86,8.25,6,0,2,8,0,0.1443298969072164
90,4.88,6,0,8,5,2,0.2307692307692307
93,5.41,6,1,5,9,1,0.1395348837209302
98,9.77,7,0,9,8,2,0.2323232323232323
88,9.73,5,0,4,3,3,0.188235294117647
96,8.28,9,1,9,3,5,0.1808510638297872
109,7.24,1,0,7,8,4,0.1862745098039215
91,7.03,2,0,9,3,0,0.1428571428571428
107,5.28,3,1,7,9,2,0.25
99,5.31,9,1,7,1,4,0.2150537634408602
104,5.71,2,0,0,2,5,0.1208791208791208
93,8.3,6,0,0,10,5,0.127906976744186
108,7.92,1,1,4,5,5,0.1818181818181818
112,5.68,9,1,5,1,1,0.1958762886597938
83,6.76,9,1,10,6,2,0.108433734939759
77,8.64,7,0,2,4,1,0.0884955752212389
67,6.7,7,0,4,1,5,0.2
101,8.38,3,0,2,8,4,0.1551724137931034
107,9.02,6,1,6,6,0,0.2352941176470588
103,8.66,8,1,2,5,4,0.188235294117647
103,6.15,2,1,0,9,0,0.1238095238095238
122,8.85,3,0,3,1,4,0.2307692307692307
98,5.1,4,1,3,6,5,0.1682242990654205
104,8.99,10,1,2,6,3,0.2035398230088495
107,7.48,6,1,1,9,1,0.1346153846153846
101,8.7,4,1,10,4,0,0.1523809523809524
106,9.89,3,1,10,4,0,0.1573033707865168
114,6.75,10,1,6,3,3,0.1414141414141414
124,7.59,6,1,1,1,1,0.2323232323232323
107,7.03,7,0,8,3,4,0.1894736842105263
133,7.3,3,0,0,8,1,0.1120689655172413
110,8.58,9,0,8,1,1,0.1862745098039215
115,9.47,3,1,8,3,4,0.1551724137931034
117,5.69,9,0,8,2,5,0.1680672268907563
132,9.41,5,0,9,10,5,0.2035398230088495
75,5.84,6,1,8,8,3,0.1904761904761904
83,6.21,5,1,9,8,3,0.2
91,7.86,4,1,7,2,2,0.1120689655172413
92,7.53,1,1,2,3,0,0.2105263157894736
126,6.39,7,0,2,4,2,0.1414141414141414
96,9.01,4,0,10,2,0,0.0909090909090909
90,8.39,6,1,6,6,2,0.2363636363636363
88,7.22,9,0,5,9,5,0.1914893617021276
115,9.51,8,1,8,9,2,0.0892857142857142
131,6.06,2,0,5,4,2,0.1120689655172413
102,6.06,6,1,2,8,3,0.0892857142857142
99,8.02,4,0,8,2,3,0.1395348837209302
134,5.82,7,0,1,5,1,0.1770833333333333
104,5.68,1,0,0,1,4,0.0980392156862745
126,7.42,8,1,3,8,1,0.1047619047619047
87,7.68,2,0,9,4,4,0.1333333333333333
118,7.88,4,0,1,1,5,0.1521739130434782
96,7.99,5,0,3,6,2,0.0909090909090909
83,9.68,1,0,2,2,3,0.0884955752212389
99,5.95,4,1,0,8,2,0.1414141414141414
82,7.9,10,1,6,5,5,0.1862745098039215
96,8.01,1,1,2,2,0,0.1645569620253164
89,10.05,9,1,8,1,0,0.1395348837209302
117,6.5,6,0,10,9,2,0.1752577319587628
99,7.02,8,0,5,3,1,0.13
99,5.89,5,0,10,10,2,0.1238095238095238
90,8.61,3,0,8,6,4,0.1521739130434782
103,8.64,7,1,0,6,4,0.1752577319587628
97,8.99,10,1,2,7,3,0.2533333333333333
94,6.13,1,0,6,8,3,0.1504424778761062
114,6.76,7,0,10,6,5,0.108433734939759
83,5.15,5,1,10,5,1,0.1583333333333333
84,6.57,7,1,3,7,4,0.1583333333333333
97,7.84,2,0,3,5,2,0.1238095238095238
89,7.79,7,0,8,1,3,0.1792452830188679
88,6.97,5,0,6,10,1,0.1009174311926605
100,9.18,1,1,2,6,1,0.13
130,8.48,2,0,3,5,1,0.1047619047619047
86,7.36,2,0,9,4,1,0.1578947368421052
105,5.62,7,0,8,3,3,0.25
95,9.82,5,0,0,6,0,0.168141592920354
87,5.76,3,0,7,4,0,0.1444444444444444
85,8.75,5,0,9,8,1,0.1376146788990825
88,8.71,6,0,4,8,2,0.2222222222222222
79,6.14,5,0,5,5,1,0.1511627906976744
99,6.29,8,0,7,6,3,0.18796992481203
127,8.19,4,0,1,2,0,0.1238095238095238
94,9.8,10,0,0,10,3,0.1470588235294117
108,7.47,9,0,2,8,2,0.1489361702127659
107,8.35,3,0,5,9,0,0.1927710843373494
92,6.82,9,1,7,10,3,0.1009174311926605
85,6.16,10,0,7,10,4,0.1914893617021276
90,5.9,6,0,3,8,1,0.1894736842105263
107,8.03,10,0,10,2,0,0.1752577319587628
81,9.13,5,0,3,8,5,0.125
114,5.7,5,1,5,3,0,0.1521739130434782
83,7.77,8,0,10,3,1,0.1666666666666666
86,9.38,8,0,1,6,1,0.1294117647058823
117,8.41,9,0,1,4,5,0.1414141414141414
138,7.54,4,0,2,10,5,0.0892857142857142
92,5.37,5,0,4,2,3,0.1809523809523809
107,9.29,10,1,5,2,5,0.1333333333333333
74,9.39,4,1,8,6,1,0.1666666666666666
128,7.09,1,1,4,7,3,0.1836734693877551
124,8.41,9,1,3,8,2,0.168141592920354
87,8.99,6,0,6,1,4,0.188235294117647
91,7.12,6,0,0,1,2,0.18796992481203
99,8.23,5,0,1,2,4,0.1170212765957446
91,8.46,4,0,2,8,4,0.2017543859649122
91,6.75,8,0,2,10,3,0.1395348837209302
115,9.39,1,0,4,2,5,0.1836734693877551
96,6.2,9,1,0,9,3,0.1578947368421052
66,8.77,5,0,10,6,5,0.1545454545454545
84,4.98,6,0,9,8,5,0.125
114,7.4,5,1,8,8,3,0.1682242990654205
112,9.14,7,1,8,7,1,0.0884955752212389
93,7.31,4,1,6,1,4,0.1958762886597938
83,8.82,4,0,2,7,1,0.1545454545454545
119,7.65,6,1,10,4,2,0.2323232323232323
94,6.95,7,0,10,6,1,0.1517857142857142
68,10.1,5,0,1,4,1,0.1521739130434782
105,8.82,2,1,0,1,5,0.2352941176470588
93,6.63,4,0,7,5,4,0.1354166666666666
102,7.86,7,1,9,7,5,0.1683168316831683
105,9.07,1,0,4,1,3,0.2017543859649122
87,7.42,7,1,6,7,2,0.2017543859649122
114,8.24,1,0,2,1,5,0.18796992481203
125,6.6,1,0,4,4,0,0.1573033707865168
124,6.21,2,0,0,9,1,0.1333333333333333
98,5.55,9,0,4,4,3,0.2150537634408602
85,4.97,2,0,1,1,3,0.1238095238095238
112,4.97,5,1,2,1,3,0.1354166666666666
102,7.8,1,1,7,5,1,0.1376146788990825
130,9.09,1,0,5,9,3,0.1836734693877551
96,5.3,7,0,0,8,2,0.1428571428571428
104,6.91,9,0,8,3,1,0.1862745098039215
83,9.19,10,1,0,1,2,0.2268041237113402
82,5.86,5,0,2,6,0,0.1517857142857142
110,5.76,7,0,6,4,3,0.2277227722772277
121,5.47,6,0,1,3,5,0.1904761904761904
100,7.78,8,0,1,9,0,0.144578313253012
96,9.36,1,0,0,2,2,0.1517857142857142
82,8.47,5,1,4,7,4,0.1944444444444444
110,6.27,1,0,10,4,5,0.1414141414141414
82,9.49,1,1,0,6,2,0.13
79,7.02,5,1,6,1,0,0.1523809523809524
118,8.11,7,0,2,2,5,0.2307692307692307
122,5.99,8,1,1,3,2,0.1764705882352941
67,8.08,9,0,9,3,4,0.1511627906976744
107,7.16,9,1,6,2,5,0.1836734693877551
94,10.35,10,0,9,7,5,0.1944444444444444
99,9.26,2,0,3,2,2,0.2017543859649122
83,6.48,9,1,6,8,4,0.1443298969072164
97,5.82,4,0,0,2,3,0.1914893617021276
86,9.01,1,0,0,8,3,0.1944444444444444
115,9.4,2,0,0,6,1,0.2352941176470588
88,7.5,2,0,10,10,4,0.144578313253012
52,7.36,9,0,4,3,3,0.1208791208791208
114,7.77,1,0,5,1,0,0.217391304347826
74,9.8,7,0,0,6,1,0.0892857142857142
108,5.62,8,1,4,7,5,0.1047619047619047
101,4.78,9,0,0,7,1,0.1170212765957446
111,8.7,7,1,6,10,5,0.1428571428571428
119,7.47,9,0,9,9,1,0.1684210526315789
124,8.05,6,1,0,3,2,0.1186440677966101
95,6.69,8,0,6,7,2,0.1680672268907563
74,5.03,8,0,2,7,4,0.1521739130434782
93,8.92,7,0,7,9,4,0.2040816326530612
115,5.37,2,0,2,8,2,0.1517857142857142
75,9.52,2,0,8,2,3,0.1792452830188679
103,5.37,2,0,2,8,5,0.1333333333333333
115,6.84,7,1,5,6,2,0.2641509433962264
111,9.9,4,0,0,6,4,0.1517857142857142
86,9.49,2,0,0,5,1,0.1504424778761062
119,7.53,2,0,3,7,4,0.2150537634408602
69,9.75,2,0,6,4,0,0.1511627906976744
92,4.95,4,1,1,5,5,0.1809523809523809
89,6.29,6,0,2,7,0,0.1666666666666666
121,5.7,7,0,6,1,4,0.1827956989247312
90,9.91,6,1,5,2,2,0.1944444444444444
84,8.56,1,0,10,8,4,0.18796992481203
77,8.44,7,1,4,3,2,0.1808510638297872
62,5.54,5,0,9,7,4,0.2268041237113402
119,8.18,7,0,10,2,2,0.2268041237113402
121,7.33,4,0,2,4,3,0.1680672268907563
112,7.73,1,1,1,8,0,0.1551724137931034
132,8.24,2,0,7,10,0,0.1666666666666666
103,5.3,4,0,9,1,2,0.2533333333333333
111,6.91,8,0,1,10,2,0.1666666666666666
95,6.22,7,0,1,5,2,0.1208791208791208
110,6.38,4,0,6,7,2,0.0892857142857142
125,6.66,1,0,3,10,2,0.1809523809523809
101,8.67,8,1,10,10,1,0.2363636363636363
87,10.1,5,1,1,8,2,0.1346153846153846
95,6.11,8,0,3,8,1,0.1428571428571428
110,6.93,6,0,8,8,2,0.1395348837209302
136,6.04,1,1,10,6,4,0.0892857142857142
111,8.57,9,1,7,10,5,0.1473684210526315
117,8.41,3,1,2,9,0,0.1944444444444444
118,6.25,1,0,8,7,5,0.1120689655172413
109,8.75,2,0,9,10,4,0.1894736842105263
131,8.23,9,0,5,5,4,0.1333333333333333
90,10.14,3,0,1,4,3,0.2307692307692307
88,6.56,8,0,2,8,4,0.1395348837209302
69,8.89,4,1,4,10,2,0.1489361702127659
62,7.53,1,0,9,10,5,0.0909090909090909
103,7.91,4,0,3,8,0,0.1444444444444444
91,8.35,6,0,6,7,4,0.1682242990654205
119,6.29,3,0,9,10,1,0.1511627906976744
81,9.7,4,0,0,8,4,0.1827956989247312
103,7.28,8,1,9,2,1,0.2040816326530612
120,4.69,5,0,2,3,4,0.1170212765957446
111,7.15,8,0,3,7,3,0.2040816326530612
91,5.61,8,0,4,4,2,0.2277227722772277
102,9.54,10,1,1,7,5,0.1914893617021276
102,8.5,1,1,10,8,5,0.127906976744186
113,5.68,2,0,5,8,4,0.1504424778761062
114,9.47,5,0,7,4,0,0.1645569620253164
77,6.9,10,1,4,4,0,0.1333333333333333
92,6.16,2,0,5,9,2,0.1354166666666666
103,9.83,10,0,1,5,5,0.1551724137931034
89,6.25,3,1,3,9,5,0.168141592920354
99,6.4,6,1,1,3,0,0.2277227722772277
91,10.08,3,0,10,10,5,0.1545454545454545
104,6.02,2,0,8,7,2,0.18796992481203
80,5.47,7,0,3,9,5,0.1683168316831683
88,8.41,10,1,8,5,1,0.1489361702127659
115,10.05,1,0,8,5,4,0.1489361702127659
96,9.04,6,1,10,7,1,0.1443298969072164
118,8.48,8,0,4,9,5,0.1666666666666666
97,6.51,9,1,6,7,1,0.1428571428571428
93,8.59,10,1,2,2,0,0.1752577319587628
101,8.22,2,1,8,10,0,0.1904761904761904
85,5.45,2,0,2,10,0,0.0884955752212389
126,5.02,3,1,3,1,4,0.1489361702127659
81,8.65,8,0,9,8,4,0.1238095238095238
89,7.16,6,0,0,1,0,0.2035398230088495
107,7.67,10,0,5,5,4,0.1792452830188679
96,10.16,1,0,0,1,2,0.2307692307692307
129,9.32,2,0,7,3,4,0.2017543859649122
84,7.53,9,1,4,10,3,0.127906976744186
96,9.97,8,1,3,10,3,0.1914893617021276
106,8.25,4,1,7,1,0,0.1444444444444444
104,7.05,6,0,8,6,0,0.1666666666666666
104,9.7,3,0,10,4,4,0.0892857142857142
96,6.17,5,0,2,7,2,0.25
144,9.88,3,1,8,6,2,0.1862745098039215
118,9.59,5,1,10,10,2,0.2017543859649122
81,9.47,3,0,4,9,0,0.1009174311926605
91,6.77,3,0,0,2,4,0.2323232323232323
88,8.36,8,0,4,1,0,0.1170212765957446
100,9.38,5,0,5,10,0,0.2150537634408602
85,9.25,9,1,8,5,2,0.1489361702127659
98,9.63,1,0,3,1,0,0.217391304347826
85,9.1,5,0,6,3,4,0.1809523809523809
117,6.52,6,0,1,3,4,0.1376146788990825
99,9.35,8,1,3,2,2,0.1862745098039215
83,8.75,4,1,3,3,1,0.1517857142857142
133,9.58,6,1,1,6,0,0.1827956989247312
90,7.16,6,1,2,7,5,0.1444444444444444
131,7.43,8,0,1,7,3,0.1944444444444444
86,5.54,3,0,6,1,1,0.1395348837209302
99,7.24,2,0,5,6,2,0.1770833333333333
107,5.9,7,0,5,6,3,0.2277227722772277
109,4.68,1,0,3,10,2,0.2268041237113402
109,8.89,1,0,6,8,0,0.1864406779661017
94,6.94,4,0,8,10,1,0.0892857142857142
81,10.17,1,1,9,8,3,0.2040816326530612
109,5.47,4,1,9,7,4,0.1489361702127659
92,7.83,9,1,1,7,5,0.1683168316831683
100,7.14,3,1,8,1,3,0.13
111,8.3,8,1,4,6,5,0.1836734693877551
104,7.8,7,0,0,4,2,0.1682242990654205
119,5.54,7,1,10,3,2,0.1395348837209302
87,7.27,3,1,1,2,4,0.2017543859649122
95,7.06,3,1,4,5,5,0.1809523809523809
83,8.61,6,1,7,8,3,0.168141592920354
123,8.84,5,0,1,2,3,0.2105263157894736
110,9.21,5,1,8,8,0,0.0884955752212389
99,6.69,9,0,9,2,5,0.1294117647058823
110,4.79,6,1,2,3,0,0.1904761904761904
122,7.13,6,0,9,5,5,0.18796992481203
135,8.24,8,1,1,10,0,0.1489361702127659
95,5.73,2,1,2,1,1,0.1809523809523809
98,8.74,1,0,9,5,2,0.2307692307692307
107,9.43,6,0,10,1,1,0.1294117647058823
91,7.15,7,1,10,7,1,0.127906976744186
90,4.95,4,1,9,9,3,0.2641509433962264
113,7.51,8,1,8,1,3,0.2277227722772277
109,6.19,6,0,1,1,5,0.1645569620253164
101,9.84,6,0,10,8,3,0.1573033707865168
94,5.18,7,1,3,10,5,0.1862745098039215
93,8.43,9,0,7,2,3,0.2268041237113402
106,6.61,9,1,8,1,3,0.1836734693877551
105,9.3,5,0,8,8,5,0.1395348837209302
118,5.71,9,0,2,4,0,0.1170212765957446
116,9.84,10,1,4,2,2,0.1789473684210526
92,8.56,1,0,2,6,5,0.1354166666666666
117,5.83,2,1,1,6,1,0.1827956989247312
118,7.87,7,0,7,2,2,0.1428571428571428
97,7.78,10,0,3,2,5,0.1792452830188679
100,8.66,7,0,5,5,3,0.1927710843373494
114,7.31,6,1,8,3,0,0.13
98,5.03,6,0,2,6,4,0.2268041237113402
101,6.82,5,0,2,4,3,0.1517857142857142
91,8.84,9,1,9,8,3,0.1333333333333333
117,7.01,9,1,10,3,2,0.1836734693877551
110,10.38,4,0,3,10,0,0.1894736842105263
51,8.49,3,0,0,3,4,0.1521739130434782
90,8.98,4,0,1,8,0,0.18796992481203
91,5.8,3,0,4,2,3,0.1789473684210526
93,7.77,9,0,2,6,2,0.1914893617021276
102,9.51,5,0,9,6,5,0.1505376344086021
107,8.56,1,1,3,2,5,0.1818181818181818
97,6.18,8,1,4,9,5,0.1808510638297872
109,9.61,5,0,4,8,1,0.1789473684210526
102,6.29,7,0,5,7,1,0.2323232323232323
98,7.22,9,0,2,7,5,0.1827956989247312
99,8.32,3,1,1,6,3,0.1473684210526315
111,9.04,7,1,4,10,2,0.1583333333333333
104,6.33,10,0,4,2,3,0.1551724137931034
117,8.24,9,1,7,8,1,0.1927710843373494
95,7.57,6,0,3,3,4,0.1836734693877551
86,7.28,3,1,0,4,2,0.188235294117647
96,5.57,2,1,5,3,5,0.1444444444444444
122,6.72,9,1,5,7,5,0.1504424778761062
124,8.4,4,1,1,4,5,0.1894736842105263
67,6.57,8,0,4,7,4,0.1376146788990825
117,5.76,1,0,7,5,0,0.1809523809523809
89,9.0,7,0,0,5,4,0.2017543859649122
103,8.66,4,1,10,5,2,0.1792452830188679
110,8.41,10,1,9,6,1,0.1666666666666666
114,6.43,3,0,2,10,3,0.2
97,6.63,10,0,2,6,4,0.1208791208791208
116,5.82,4,1,4,8,0,0.0884955752212389
109,7.41,8,0,4,8,1,0.1827956989247312
86,10.17,10,0,9,4,1,0.1444444444444444
107,8.07,2,1,8,9,3,0.188235294117647
116,6.06,1,0,5,8,3,0.1489361702127659
97,7.31,10,1,0,6,4,0.2040816326530612
114,7.17,6,1,8,9,0,0.1489361702127659
86,9.09,7,1,9,9,0,0.1517857142857142
108,4.94,9,1,10,1,4,0.1489361702127659
106,5.08,5,0,4,7,2,0.1862745098039215
125,8.52,1,0,1,2,2,0.1545454545454545
119,5.59,3,1,9,6,4,0.1680672268907563
91,7.24,6,0,5,1,4,0.1354166666666666
101,6.94,2,0,8,5,5,0.1862745098039215
87,5.12,10,1,8,1,0,0.188235294117647
117,7.78,7,1,6,1,1,0.127906976744186
92,7.16,10,0,5,1,4,0.2222222222222222
88,9.66,9,0,5,6,4,0.1208791208791208
97,8.78,5,1,1,10,2,0.1645569620253164
129,6.68,4,0,4,6,0,0.188235294117647
106,7.23,9,1,7,3,1,0.2268041237113402
103,9.91,1,0,4,2,4,0.1428571428571428
100,9.2,5,0,5,8,3,0.1770833333333333
113,5.69,4,1,1,3,5,0.168141592920354
109,6.01,2,0,10,9,5,0.1395348837209302
101,8.99,4,0,4,4,2,0.2035398230088495
127,6.76,6,1,5,4,4,0.0892857142857142
102,10.22,1,0,1,2,5,0.1836734693877551
84,5.39,8,0,4,5,4,0.1333333333333333
125,10.17,4,0,10,10,2,0.168141592920354
97,5.31,2,0,9,10,1,0.1489361702127659
109,8.17,8,0,2,5,5,0.2323232323232323
85,7.31,6,0,10,4,1,0.18796992481203
114,5.79,9,0,4,5,5,0.1958762886597938
110,9.08,8,1,8,10,0,0.1333333333333333
111,6.28,5,1,7,1,0,0.1428571428571428
107,7.92,7,0,2,5,5,0.1836734693877551
88,5.85,10,0,7,5,3,0.1414141414141414
105,6.11,3,0,8,8,4,0.1752577319587628
105,8.24,7,1,2,8,2,0.1862745098039215
80,7.91,7,0,3,10,5,0.1521739130434782
110,6.87,7,1,10,1,1,0.1009174311926605
76,8.49,1,0,7,9,3,0.1521739130434782
106,6.52,8,1,8,7,1,0.1354166666666666
113,6.52,1,0,7,3,1,0.1489361702127659
77,8.96,10,1,1,2,3,0.1862745098039215
87,9.69,2,1,4,3,0,0.1573033707865168
129,6.3,9,1,0,1,2,0.1504424778761062
94,9.27,7,0,1,6,1,0.1583333333333333
93,6.72,3,0,5,7,5,0.2533333333333333
103,9.6,7,0,8,2,2,0.1395348837209302
107,4.74,5,0,7,3,0,0.1827956989247312
124,5.45,3,0,6,2,4,0.0909090909090909
97,5.84,10,0,4,6,1,0.2307692307692307
90,10.12,9,0,7,9,5,0.1511627906976744
98,7.7,4,0,6,3,3,0.1470588235294117
132,9.38,4,0,5,1,0,0.0909090909090909
131,8.55,10,0,7,10,2,0.2017543859649122
97,8.87,5,1,7,5,2,0.1395348837209302
106,9.84,7,1,3,1,2,0.1505376344086021
111,8.48,9,0,8,10,4,0.1473684210526315
107,5.93,1,0,3,1,1,0.1666666666666666
86,7.03,9,1,3,2,0,0.1752577319587628
122,9.06,8,0,7,5,0,0.1914893617021276
96,6.82,2,0,0,7,0,0.1551724137931034
106,8.21,10,0,5,1,3,0.1047619047619047
90,9.4,7,0,6,5,5,0.217391304347826
86,5.56,2,1,7,4,2,0.0884955752212389
123,6.42,9,0,2,9,3,0.13
98,5.76,8,0,10,9,5,0.2363636363636363
103,5.89,8,1,1,6,2,0.1573033707865168
88,5.83,10,1,9,10,3,0.1752577319587628
94,5.29,7,0,8,9,5,0.0884955752212389
93,9.89,3,0,6,3,1,0.1862745098039215
128,6.47,2,1,5,4,4,0.1120689655172413
84,9.43,1,0,3,2,4,0.1354166666666666
84,8.93,7,0,3,1,4,0.0980392156862745
88,6.39,2,0,3,7,0,0.1523809523809524
99,7.26,6,0,0,8,3,0.25
131,8.03,10,1,8,2,1,0.1376146788990825
82,7.6,5,0,4,4,1,0.2363636363636363
98,5.87,7,0,5,10,5,0.1818181818181818
70,8.66,9,0,5,10,3,0.1504424778761062
113,6.14,9,1,5,9,2,0.1333333333333333
109,7.32,5,1,3,9,2,0.1395348837209302
56,5.42,4,1,2,10,5,0.1666666666666666
95,6.62,7,0,9,1,0,0.0884955752212389
94,9.89,4,0,7,6,4,0.1523809523809524
119,9.63,4,0,2,6,0,0.1792452830188679
109,7.58,6,0,10,9,5,0.1009174311926605
99,8.5,2,0,10,10,3,0.1120689655172413
121,6.15,10,1,4,10,1,0.2641509433962264
71,8.4,6,0,0,5,2,0.2105263157894736
109,7.46,10,1,0,7,0,0.1862745098039215
87,7.81,1,0,5,2,1,0.1683168316831683
64,6.94,9,0,3,5,3,0.188235294117647
99,9.55,9,1,5,5,5,0.1573033707865168
129,7.68,5,1,6,4,5,0.1809523809523809
87,6.22,1,0,0,3,3,0.1444444444444444
45,7.63,2,0,6,6,3,0.1682242990654205
89,5.84,8,0,5,8,1,0.188235294117647
106,9.49,2,1,7,1,5,0.1680672268907563
121,5.36,4,0,8,4,2,0.1444444444444444
111,9.69,6,0,5,1,2,0.1505376344086021
106,8.62,9,1,5,10,5,0.1489361702127659
127,7.99,4,0,6,10,5,0.1764705882352941
88,8.58,3,0,6,5,5,0.1376146788990825
82,5.91,10,0,1,7,2,0.1894736842105263
